Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependencies),Custom field (Design),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Effort 10),Custom field (Effort Impact custom score),Custom field (Effort T-shirt size),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Impact),Custom field (Impact 10),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Oversubscription score),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Request Type),Custom field (Roadmap),Custom field (Sample team),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target quarter),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value score),Custom field (Value to end user),Custom field (Value to product/tech),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
"Cuando el ""temporizador"" se agota el tiempo establecido, se queda trabado en 0:01 y nos sucede nada.",TRIP-27,10036,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:42,4/9/25 16:42,4/9/25 16:52,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30c930ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:42
"Al hacer clic en el botón ""cancelar"" no pasa nada y la aplicación no permite salir de la ventana, hay que refrescar la pagina para que se permita salir.",TRIP-26,10035,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:40,4/9/25 16:41,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4cbf7c25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007r:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:40
"Al momento de remover cualquiera de los campos ""Desde"" y ""Hasta"" el precio no se muestra por minuto, la pagina regresa a solicitar que se llenen los campos.",TRIP-25,10034,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Medium,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:39,4/9/25 16:39,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a76df82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007j:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:39
La marca y el numero de placa no se muestran en la ventana emerjente.,TRIP-24,10033,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Medium,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:37,4/9/25 16:37,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@557ce300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007b:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:37
"Al eliminar cualquiera de las direcciones NO aparece el mensaje ""Agregar licencia de conducir"" la app lo redirecciona directamente al inicio para ingresar los campos ""Desde"" y ""Hasta"".",TRIP-23,10032,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:35,4/9/25 16:35,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ee9f41b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:35
"Al hacer clic en el boton ""Agregar"" el elemento ""Tarjeta Agregada"" NO aparece.",TRIP-22,10031,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:33,4/9/25 16:33,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61c607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:33
"No hay ningún elemento o ventana que se muestre con el mensaje ""Automóvil reservado"".",TRIP-21,10030,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:28,4/9/25 16:33,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7dd064d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:28
Cuando la tarjeta es agregada correctamente NO se muestran los últimos 4 dígitos de la tarjeta.,TRIP-20,10029,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:26,4/9/25 16:27,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@41b17d86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:26
"El sistema permite introducir otros caracteres o números que no se ajusten a los requisitos del rango en el campo ""Código"".",TRIP-19,10028,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:25,4/9/25 16:25,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@703d66fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:25
"El programa no bloquea introducir mas de 2 caracteres en el campo ""Código"".",TRIP-18,10027,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:24,4/9/25 16:24,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7656524a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:24
